slug_id,slug_name,report_title,published_date,markets,market_types,offices,sectionNames
2451,AMS_2451,National/Regional Daily Boneless Processing Beef/ Beef Trimmings - PM (PDF) (LM_XB401),07/01/2024 14:47:15,['LMR'],['Direct Livestock - LMR Beef'],"['Des Moines, IA']","['Summary', 'Current Volume', 'Central', 'National']"
2453,AMS_2453,National Daily Boxed Beef Cutout & Boxed Beef Cuts - Negotiated Sales - PM (PDF) (LM_XB403),07/01/2024 14:57:54,['LMR'],['Direct Livestock - LMR Beef'],"['Des Moines, IA']","['Summary', 'Current Cutout Values', 'Change From Prior Day', 'Composite Primal Values', 'Current Volume', 'Choice Cuts', 'Select Cuts', 'Choice and Select Cuts', 'Ground Beef', 'Blended Ground Beef', 'Beef Trimmings']"
2455,AMS_2455,National 5-day Rolling Cutter Cow Cutout and Boxed Cow Beef Cuts - PM (PDF) (LM_XB405),07/01/2024 15:09:17,['LMR'],['Direct Livestock - LMR Beef'],"['Des Moines, IA']","['Summary', 'Current Cutout Value/Change', 'Items', 'Current Volume', 'BONER/BREAKER', 'CUTTER/CANNER', '100% LEAN', 'B/B and C/C', 'FROZEN BONER/BREAKER', 'FROZEN CUTTER/CANNER', 'FROZEN B/B and C/C']"
2456,AMS_2456,National Weekly Formulated Boneless Cow Beef & Beef Trimmings - Formulated Sales (PDF) (LM_XB450),06/28/2024 15:10:24,['LMR'],['Direct Livestock - LMR Beef'],"['Des Moines, IA']","['Summary', 'Current Volume', 'Central', 'National', 'East Coast', 'West Coast']"
2457,AMS_2457,National Weekly Boxed Beef Cuts for Branded Product - Negotiated Sales (PDF) (LM_XB452),07/01/2024 09:10:20,['LMR'],['Direct Livestock - LMR Beef'],"['Des Moines, IA']","['Summary', 'Current Volume', 'Upper 2-3 Choice Items', 'Lower 1-3 Choice Items', 'Branded Select']"
2458,AMS_2458,National Weekly Boxed Beef Cuts - Formulated Sales (PDF) (LM_XB454),07/01/2024 09:14:51,['LMR'],['Direct Livestock - LMR Beef'],"['Des Moines, IA']","['Summary', 'Current Volume', 'Choice Cuts', 'Select Cuts', 'Choice and Select Cuts', 'Ground Beef', 'Blended Ground Beef', 'Beef Trimmings']"
2459,AMS_2459,"National Weekly Boxed Beef Cuts-Negotiated Sales, 22-90 delivery period (PDF) (LM_XB455)",07/01/2024 09:17:42,['LMR'],['Direct Livestock - LMR Beef'],"['Des Moines, IA']","['Summary', 'Current Volume', 'Choice Cuts', 'Select Cuts', 'Choice and Select Cuts', 'Ground Beef', 'Blended Ground Beef', 'Beef Trimmings']"
2460,AMS_2460,National Weekly Boxed Beef Cuts for Prime Product - Negotiated Sales (PDF) (LM_XB456),07/01/2024 09:00:58,['LMR'],['Direct Livestock - LMR Beef'],"['Des Moines, IA']","['Summary', 'Current Volume', 'Prime Cuts']"
2461,AMS_2461,National Weekly Boxed Beef Cutout & Boxed Beef Cuts - Negotiated Sales (PDF) (LM_XB459),06/28/2024 15:01:38,['LMR'],['Direct Livestock - LMR Beef'],"['Des Moines, IA']","['Summary', 'Weekly Composite Primal Values', 'Weekly Summary Cutout Values', 'Weekly Average Cutout Values', 'Change From Prior Week', 'Current Volume', 'Choice Cuts', 'Select Cuts', 'Choice and Select Cuts', 'Ground Beef', 'Blended Ground Beef', 'Beef Trimmings']"
2462,AMS_2462,National/Regional Weekly Boneless Processing Beef and Beef Trimmings (PDF) (LM_XB460),06/28/2024 15:11:28,['LMR'],['Direct Livestock - LMR Beef'],"['Des Moines, IA']","['Summary', 'Current Volume', 'Central', 'National', 'East Coast', 'West Coast']"
