report_date,total_pounds_tndrloin,z_score
2023-12-21,408846,3.536468366378856
2023-11-08,456730,4.082605370572166
2023-11-02,431734,3.7975155585928833
2023-09-26,444534,3.943504900621001
2023-09-13,305837,2.361607730990235
2023-09-07,281139,2.0799167333800437
2023-09-06,287938,2.157462165915135
2023-08-15,312396,2.436415863362299
2023-05-12,357814,2.954427108380505
2023-03-31,379097,3.197168605754288
2023-03-16,289667,2.1771821325062772
2023-01-31,378597,3.191465897081315
2022-11-30,315541,2.4722859009153013
2022-11-04,316299,2.480931207263529
2022-11-03,308464,2.3915697623580368
2022-09-13,297190,2.262985087199834
2022-08-18,399015,3.424341708450854
2022-06-22,353728,2.907824573104967
2022-02-08,1541061,16.44985296671987
2022-02-02,279813,2.0647931499793186
2022-01-06,299566,2.2900843588138033
2021-09-29,293907,2.225541102053091
2021-09-22,432166,3.802442698886332
2021-09-16,291669,2.200015778032862
2021-07-14,292414,2.2085128139555925
2021-02-11,298214,2.274664234562083
2021-01-07,519148,4.794508710471466
2020-12-16,615420,5.892531049200444
2020-11-24,303339,2.33311699846006
2020-11-13,322186,2.548074899179117
2020-11-04,335383,2.6985921918935754
2020-10-15,383208,3.244056276463475
2020-10-14,366377,3.0520916971138465
2020-10-13,295464,2.24329933686073
2020-04-09,463132,4.155622852420917
2020-04-07,345151,2.810000308528782
2020-03-24,281841,2.0879233363568983
2020-03-20,296755,2.258023730654347
2020-03-19,380816,3.2167745181719707
2020-01-06,384635,3.260331807016141
2019-12-26,341798,2.771757944167823
2019-11-26,373217,3.1301047517601215
2019-02-13,468571,4.217656917365521
2019-02-05,362312,3.0057286756025734
2018-12-31,306982,2.3746669338513438
2018-11-27,400958,3.4465024343540285
2018-09-06,295054,2.238623115748892
2018-08-01,289742,2.178037538807223
2018-07-18,287398,2.151303240548324
2018-04-10,406019,3.5042252515418646
2018-04-04,330875,2.6471765704980474
2018-04-02,420941,3.674416889178081
2018-02-22,290808,2.190195713698002
2018-02-19,275090,2.0109253638544122
2018-02-08,312761,2.44057884069357
2018-01-25,310486,2.414631516231541
2018-01-16,381961,3.229833721033079
2017-12-28,506353,4.648576395530078
2017-12-27,635886,6.125954320602588
2017-10-26,287185,2.1488738866536377
2017-09-07,603001,5.750887171181132
2017-08-24,361951,3.0016113199406864
2017-08-23,293200,2.2174774719895067
2017-07-20,309511,2.403511234319243
2017-02-20,335846,2.7038729001247486
2017-02-16,279088,2.056524222403507
2017-02-13,466611,4.195302299367466
2017-01-11,436172,3.8481328007741946
