report_date,total_pounds
2023-12-29,3861.0
2023-12-28,3996.0
2023-12-27,3996.0
2023-12-26,6011.0
2023-12-22,180175.0
2023-12-21,48531.0
2023-12-20,4762.0
2023-12-19,49929.0
2023-12-18,38055.0
2023-12-15,27649.0
2023-12-14,84975.0
2023-12-13,97716.0
2023-12-12,5883.0
2023-12-11,14835.0
2023-12-08,14835.0
2023-12-07,22370.0
2023-12-06,2541.0
2023-12-05,35688.0
2023-12-04,210123.0
2023-12-01,51098.0
2023-11-30,77426.0
2023-11-29,10629.0
2023-11-28,79877.0
2023-11-27,142279.0
2023-11-24,142279.0
2023-11-22,14679.0
2023-11-21,129494.0
2023-11-20,430149.0
2023-11-17,430149.0
2023-11-16,25550.0
2023-11-15,3139.0
2023-11-14,132366.0
2023-11-13,15272.0
2023-11-10,85357.0
2023-11-09,16890.0
2023-11-08,13428.0
2023-11-07,10685.0
2023-11-06,5835.0
2023-11-03,5835.0
2023-11-02,13681.0
2023-11-01,11948.0
2023-10-31,58565.0
2023-10-30,34492.0
2023-10-27,25779.0
2023-10-26,42032.0
2023-10-25,87248.0
2023-10-24,13005.0
2023-10-23,50932.0
2023-10-20,205591.0
2023-10-19,24659.0
2023-10-18,38016.0
2023-10-17,3263.0
2023-10-16,213807.0
2023-10-13,213807.0
2023-10-12,25314.0
2023-10-11,26567.0
2023-10-10,10798.0
2023-10-09,13174.0
2023-10-06,4852.0
2023-10-05,12899.0
2023-10-04,274176.0
2023-10-03,210285.0
2023-10-02,37772.0
2023-09-29,37772.0
2023-09-28,37772.0
2023-09-27,18029.0
2023-09-26,18029.0
2023-09-25,33260.0
2023-09-22,33260.0
2023-09-21,22327.0
2023-09-20,71656.0
2023-09-19,252089.0
2023-09-18,48539.0
2023-09-15,93849.0
2023-09-14,11532.0
2023-09-13,163300.0
2023-09-12,183246.0
2023-09-11,14706.0
2023-09-08,14706.0
2023-09-07,17588.0
2023-09-06,37424.0
2023-09-05,30050.0
2023-09-01,30050.0
2023-08-31,28938.0
2023-08-30,90381.0
2023-08-29,4060.0
2023-08-28,14372.0
2023-08-25,39197.0
2023-08-24,35862.0
2023-08-23,35862.0
2023-08-22,1224.0
2023-08-21,67613.0
2023-08-18,107397.0
2023-08-17,48803.0
2023-08-16,1077.0
2023-08-15,8212.0
2023-08-14,19932.0
2023-08-11,3301.0
2023-08-10,12298.0
2023-08-09,40165.0
2023-08-08,10914.0
2023-08-07,4194.0
2023-08-04,10196.0
2023-08-03,10196.0
2023-08-02,10196.0
2023-08-01,4109.0
2023-07-31,34530.0
2023-07-28,64441.0
2023-07-27,9393.0
2023-07-26,4204.0
2023-07-25,4204.0
2023-07-24,10056.0
2023-07-21,10056.0
2023-07-20,10056.0
2023-07-19,86473.0
2023-07-18,33170.0
2023-07-17,7236.0
2023-07-14,7236.0
2023-07-13,90420.0
2023-07-12,25271.0
2023-07-11,144792.0
2023-07-10,6381.0
2023-07-07,1397.0
2023-07-06,95563.0
2023-07-05,9610.0
2023-07-03,24367.0
2023-06-30,15642.0
2023-06-29,1879.0
2023-06-28,1879.0
2023-06-27,1715.0
2023-06-26,16445.0
2023-06-23,16445.0
