report_date,weighted_average
2023-12-29,565.12
2023-12-28,565.16
2023-12-27,565.16
2023-12-26,567.52
2023-12-22,540.84
2023-12-21,557.21
2023-12-20,593.49
2023-12-19,534.83
2023-12-18,551.9
2023-12-15,542.01
2023-12-14,546.82
2023-12-13,550.53
2023-12-12,570.59
2023-12-11,541.62
2023-12-08,541.62
2023-12-07,557.36
2023-12-06,556.22
2023-12-05,538.25
2023-12-04,543.78
2023-12-01,530.89
2023-11-30,526.36
2023-11-29,540.03
2023-11-28,527.41
2023-11-27,541.54
2023-11-24,541.54
2023-11-22,573.91
2023-11-21,542.43
2023-11-20,541.26
2023-11-17,541.26
2023-11-16,560.06
2023-11-15,606.99
2023-11-14,540.75
2023-11-13,592.19
2023-11-10,540.8
2023-11-09,547.0
2023-11-08,532.97
2023-11-07,547.37
2023-11-06,598.52
2023-11-03,598.52
2023-11-02,565.13
2023-11-01,527.97
2023-10-31,560.81
2023-10-30,558.06
2023-10-27,561.82
2023-10-26,577.95
2023-10-25,551.04
2023-10-24,579.48
2023-10-23,537.76
2023-10-20,540.12
2023-10-19,548.54
2023-10-18,556.74
2023-10-17,588.82
2023-10-16,555.63
2023-10-13,555.63
2023-10-12,557.4
2023-10-11,547.91
2023-10-10,621.43
2023-10-09,566.76
2023-10-06,578.23
2023-10-05,564.57
2023-10-04,543.16
2023-10-03,647.98
2023-10-02,556.46
2023-09-29,556.46
2023-09-28,556.46
2023-09-27,570.72
2023-09-26,570.72
2023-09-25,627.46
2023-09-22,627.46
2023-09-21,565.49
2023-09-20,547.12
2023-09-19,553.54
2023-09-18,561.35
2023-09-15,558.76
2023-09-14,585.08
2023-09-13,562.08
2023-09-12,564.34
2023-09-11,589.7
2023-09-08,0.0
2023-09-07,581.54
2023-09-06,615.8
2023-09-05,645.29
2023-09-01,645.29
2023-08-31,616.72
2023-08-30,599.29
2023-08-29,668.55
2023-08-28,645.63
2023-08-25,635.29
2023-08-24,604.06
2023-08-23,604.06
2023-08-22,692.16
2023-08-21,632.45
2023-08-18,642.88
2023-08-17,630.67
2023-08-16,671.75
2023-08-15,581.51
2023-08-14,630.56
2023-08-11,604.63
2023-08-10,579.07
2023-08-09,573.94
2023-08-08,640.36
2023-08-07,590.65
2023-08-04,571.65
2023-08-03,571.65
2023-08-02,571.65
2023-08-01,656.99
2023-07-31,593.99
2023-07-28,595.95
2023-07-27,580.7
2023-07-26,624.97
2023-07-25,624.97
2023-07-24,567.75
2023-07-21,567.75
2023-07-20,567.75
2023-07-19,541.69
2023-07-18,563.15
2023-07-17,583.51
2023-07-14,583.51
2023-07-13,551.72
2023-07-12,540.73
2023-07-11,562.87
2023-07-10,631.4
2023-07-07,698.18
2023-07-06,565.83
2023-07-05,632.64
2023-07-03,600.6
2023-06-30,591.86
2023-06-29,709.84
2023-06-28,709.84
2023-06-27,717.82
2023-06-26,616.32
2023-06-23,616.32
2023-06-22,616.32
2023-06-21,646.46
2023-06-20,646.46
2023-06-19,0.0
2023-06-16,607.46
2023-06-15,619.3
2023-06-14,550.16
2023-06-13,700.15
2023-06-12,700.15
2023-06-09,700.15
2023-06-08,624.32
2023-06-07,635.87
2023-06-06,631.78
2023-06-05,631.78
2023-06-02,689.42
2023-06-01,689.42
2023-05-31,689.42
2023-05-30,557.31
2023-05-26,617.05
2023-05-25,617.05
2023-05-24,550.65
2023-05-23,615.13
2023-05-22,545.25
2023-05-19,545.25
2023-05-18,545.25
2023-05-17,590.43
2023-05-16,553.17
2023-05-15,580.23
2023-05-12,543.96
2023-05-11,536.38
2023-05-10,536.38
2023-05-09,576.83
2023-05-08,622.57
2023-05-05,622.57
2023-05-04,560.13
2023-05-03,584.58
2023-05-02,551.44
2023-05-01,630.62
2023-04-28,562.63
2023-04-27,580.45
2023-04-26,645.22
2023-04-25,553.9
2023-04-24,584.53
2023-04-21,584.53
2023-04-20,584.53
2023-04-19,596.44
2023-04-18,610.7
2023-04-17,654.12
2023-04-14,654.12
2023-04-13,583.45
2023-04-12,589.3
2023-04-11,589.3
2023-04-10,577.17
2023-04-07,577.17
2023-04-06,577.17
2023-04-05,586.95
2023-04-04,579.08
2023-04-03,579.08
2023-03-31,0.0
2023-03-30,624.11
2023-03-29,623.36
2023-03-28,567.38
2023-03-27,556.73
2023-03-24,0.0
2023-03-23,561.87
2023-03-22,611.58
2023-03-21,568.72
2023-03-20,567.1
2023-03-17,570.59
2023-03-16,582.33
2023-03-15,589.76
2023-03-14,627.17
2023-03-13,558.81
2023-03-10,590.92
2023-03-09,598.33
2023-03-08,580.55
2023-03-07,577.81
2023-03-06,584.6
2023-03-03,608.9
2023-03-02,612.34
2023-03-01,625.34
2023-02-28,584.88
2023-02-27,586.63
2023-02-24,596.04
2023-02-23,595.34
2023-02-22,621.96
2023-02-21,589.96
2023-02-20,577.22
2023-02-17,0.0
2023-02-16,562.58
2023-02-15,558.28
2023-02-14,577.53
2023-02-13,547.68
2023-02-10,547.68
2023-02-09,530.49
2023-02-08,559.41
2023-02-07,0.0
2023-02-06,500.5
2023-02-03,500.5
2023-02-02,516.69
2023-02-01,544.9
2023-01-31,558.47
2023-01-30,564.22
2023-01-27,512.77
2023-01-26,522.33
2023-01-25,517.96
2023-01-24,517.32
2023-01-23,546.21
2023-01-20,544.48
2023-01-19,544.48
2023-01-18,548.29
2023-01-17,569.48
2023-01-16,517.32
2023-01-13,517.32
2023-01-12,568.0
2023-01-11,576.74
2023-01-10,509.18
2023-01-09,550.17
2023-01-06,543.08
2023-01-05,543.08
2023-01-04,519.18
2023-01-03,518.05
2022-12-30,518.05
2022-12-29,512.97
2022-12-28,525.43
2022-12-27,514.53
2022-12-23,513.55
2022-12-22,525.99
2022-12-21,505.78
2022-12-20,505.78
2022-12-19,509.95
2022-12-16,534.11
