report_date,total_pounds
2023-12-29,21120.0
2023-12-28,21120.0
2023-12-27,21120.0
2023-12-26,21120.0
2023-12-22,21120.0
2023-12-21,21120.0
2023-12-20,21120.0
2023-12-19,21120.0
2023-12-18,5836.0
2023-12-15,5836.0
2023-12-14,5836.0
2023-12-13,5836.0
2023-12-12,5836.0
2023-12-11,5836.0
2023-12-08,6540.0
2023-12-07,6540.0
2023-12-06,25672.0
2023-12-05,25672.0
2023-12-04,25672.0
2023-12-01,25672.0
2023-11-30,4851.0
2023-11-29,4851.0
2023-11-28,4851.0
2023-11-27,4851.0
2023-11-24,3719.0
2023-11-22,1261.0
2023-11-21,1261.0
2023-11-20,1261.0
2023-11-17,1261.0
2023-11-16,7823.0
2023-11-15,7823.0
2023-11-14,7823.0
2023-11-13,7823.0
2023-11-10,7823.0
2023-11-09,7823.0
2023-11-08,7823.0
2023-11-07,7823.0
2023-11-06,20639.0
2023-11-03,20639.0
2023-11-02,20639.0
2023-11-01,20639.0
2023-10-31,20639.0
2023-10-30,20639.0
2023-10-27,20639.0
2023-10-26,20639.0
2023-10-25,20639.0
2023-10-24,20639.0
2023-10-23,20639.0
2023-10-20,20639.0
2023-10-19,4097.0
2023-10-18,6076.0
2023-10-17,6076.0
2023-10-16,6076.0
2023-10-13,6076.0
2023-10-12,6076.0
2023-10-11,10731.0
2023-10-10,10731.0
2023-10-09,10731.0
2023-10-06,4191.0
2023-10-05,6153.0
2023-10-04,1212.0
2023-10-03,1212.0
2023-10-02,1212.0
2023-09-29,1212.0
2023-09-28,1212.0
2023-09-27,1212.0
2023-09-26,1212.0
2023-09-25,1212.0
2023-09-22,1212.0
2023-09-21,1212.0
2023-09-20,1212.0
2023-09-19,1212.0
2023-09-18,1212.0
2023-09-15,1212.0
2023-09-14,1212.0
2023-09-13,1212.0
2023-09-12,1212.0
2023-09-11,1212.0
2023-09-08,1212.0
2023-09-07,3678.0
2023-09-06,3678.0
2023-09-05,3678.0
2023-09-01,3678.0
2023-08-31,3678.0
2023-08-30,3678.0
2023-08-29,3678.0
2023-08-28,3678.0
2023-08-25,3678.0
2023-08-24,3221.0
2023-08-23,1187.0
2023-08-22,1187.0
2023-08-21,1187.0
2023-08-18,1048.0
2023-08-17,1048.0
2023-08-16,1048.0
2023-08-15,5385.0
2023-08-14,5385.0
2023-08-11,5385.0
2023-08-10,5385.0
2023-08-09,5385.0
2023-08-08,5385.0
2023-08-07,5385.0
2023-08-04,5385.0
2023-08-03,3273.0
2023-08-02,3273.0
2023-08-01,3273.0
2023-07-31,3273.0
2023-07-28,3273.0
2023-07-27,3273.0
2023-07-26,3273.0
2023-07-25,3273.0
2023-07-24,3273.0
2023-07-21,3273.0
2023-07-20,3005.0
2023-07-19,3005.0
2023-07-18,3005.0
2023-07-17,3005.0
2023-07-14,1288.0
2023-07-13,1288.0
2023-07-12,1288.0
2023-07-11,1288.0
2023-07-10,1288.0
2023-07-07,1288.0
2023-07-06,2643.0
2023-07-05,2643.0
2023-07-03,2643.0
2023-06-30,2643.0
2023-06-29,2643.0
2023-06-28,2643.0
2023-06-27,2643.0
2023-06-26,2493.0
2023-06-23,2493.0
2023-06-22,2493.0
2023-06-21,2493.0
2023-06-20,2493.0
2023-06-19,2493.0
2023-06-16,2493.0
2023-06-15,2506.0
2023-06-14,2506.0
2023-06-13,2506.0
2023-06-12,2506.0
2023-06-09,2506.0
2023-06-08,2506.0
2023-06-07,2506.0
2023-06-06,2506.0
2023-06-05,2506.0
2023-06-02,2506.0
2023-06-01,3517.0
2023-05-31,3517.0
2023-05-30,3517.0
2023-05-26,4352.0
2023-05-25,2493.0
2023-05-24,2493.0
2023-05-23,2493.0
2023-05-22,2721.0
2023-05-19,2721.0
2023-05-18,2721.0
2023-05-17,2721.0
2023-05-16,2721.0
2023-05-15,2721.0
2023-05-12,39462.0
2023-05-11,39462.0
2023-05-10,39462.0
2023-05-09,39462.0
2023-05-08,39462.0
2023-05-05,39462.0
2023-05-04,39462.0
2023-05-03,39462.0
2023-05-02,39462.0
2023-05-01,39462.0
2023-04-28,39462.0
2023-04-27,39462.0
2023-04-26,39462.0
2023-04-25,39462.0
2023-04-24,39462.0
2023-04-21,39462.0
2023-04-20,39462.0
2023-04-19,1723.0
2023-04-18,1723.0
2023-04-17,1723.0
2023-04-14,1723.0
2023-04-13,1723.0
2023-04-12,1295.0
2023-04-11,1295.0
2023-04-10,1295.0
2023-04-07,1295.0
2023-04-06,1295.0
2023-04-05,1295.0
2023-04-04,1295.0
2023-04-03,1295.0
2023-03-31,1295.0
2023-03-30,1295.0
2023-03-29,27953.0
2023-03-28,27953.0
2023-03-27,27953.0
2023-03-24,27953.0
2023-03-23,13809.0
2023-03-22,13809.0
2023-03-21,13809.0
2023-03-20,2113.0
2023-03-17,2113.0
2023-03-16,2113.0
2023-03-15,1862.0
2023-03-14,1862.0
2023-03-13,1862.0
2023-03-10,1862.0
2023-03-09,13786.0
2023-03-08,13786.0
2023-03-07,13786.0
2023-03-06,13786.0
2023-03-03,13786.0
2023-03-02,13786.0
2023-03-01,13786.0
2023-02-28,13786.0
2023-02-27,13786.0
