report_date,weighted_average
2023-12-29,0.0
2023-12-28,0.0
2023-12-27,0.0
2023-12-26,0.0
2023-12-22,399.7
2023-12-21,399.7
2023-12-20,399.7
2023-12-19,399.7
2023-12-18,347.47
2023-12-15,347.47
2023-12-14,0.0
2023-12-13,0.0
2023-12-12,0.0
2023-12-11,0.0
2023-12-08,339.51
2023-12-07,339.51
2023-12-06,355.73
2023-12-05,355.73
2023-12-04,0.0
2023-12-01,0.0
2023-11-30,385.29
2023-11-29,0.0
2023-11-28,0.0
2023-11-27,0.0
2023-11-24,374.05
2023-11-22,378.47
2023-11-21,0.0
2023-11-20,0.0
2023-11-17,0.0
2023-11-16,390.32
2023-11-15,390.32
2023-11-14,0.0
2023-11-13,0.0
2023-11-10,0.0
2023-11-09,0.0
2023-11-08,0.0
2023-11-07,0.0
2023-11-06,394.0
2023-11-03,0.0
2023-11-02,0.0
2023-11-01,0.0
2023-10-31,0.0
2023-10-30,0.0
2023-10-27,0.0
2023-10-26,0.0
2023-10-25,0.0
2023-10-24,0.0
2023-10-23,0.0
2023-10-20,0.0
2023-10-19,396.14
2023-10-18,381.98
2023-10-17,381.98
2023-10-16,381.98
2023-10-13,0.0
2023-10-12,0.0
2023-10-11,366.88
2023-10-10,366.88
2023-10-09,0.0
2023-10-06,410.91
2023-10-05,400.17
2023-10-04,388.01
2023-10-03,0.0
2023-10-02,0.0
2023-09-29,0.0
2023-09-28,0.0
2023-09-27,0.0
2023-09-26,0.0
2023-09-25,0.0
2023-09-22,0.0
2023-09-21,0.0
2023-09-20,0.0
2023-09-19,0.0
2023-09-18,0.0
2023-09-15,0.0
2023-09-14,0.0
2023-09-13,0.0
2023-09-12,0.0
2023-09-11,0.0
2023-09-08,0.0
2023-09-07,453.1
2023-09-06,0.0
2023-09-05,0.0
2023-09-01,0.0
2023-08-31,0.0
2023-08-30,0.0
2023-08-29,0.0
2023-08-28,0.0
2023-08-25,0.0
2023-08-24,473.96
2023-08-23,452.41
2023-08-22,452.41
2023-08-21,0.0
2023-08-18,465.9
2023-08-17,465.9
2023-08-16,0.0
2023-08-15,469.39
2023-08-14,0.0
2023-08-11,0.0
2023-08-10,0.0
2023-08-09,0.0
2023-08-08,0.0
2023-08-07,0.0
2023-08-04,0.0
2023-08-03,451.1
2023-08-02,451.1
2023-08-01,451.1
2023-07-31,451.1
2023-07-28,451.1
2023-07-27,451.1
2023-07-26,451.1
2023-07-25,0.0
2023-07-24,0.0
2023-07-21,0.0
2023-07-20,491.71
2023-07-19,0.0
2023-07-18,0.0
2023-07-17,0.0
2023-07-14,491.99
2023-07-13,491.99
2023-07-12,491.99
2023-07-11,491.99
2023-07-10,0.0
2023-07-07,0.0
2023-07-06,524.36
2023-07-05,524.36
2023-07-03,524.36
