total_pounds,weighted_average,report_date,item_description
"53,535","1,026.37",2016-01-04,tndrloin
"7,925",311.80,2016-01-04,butt_bnls
"1,341",328.93,2016-01-05,butt_bnls
"216,483",998.94,2016-01-05,tndrloin
"6,004",331.27,2016-01-06,butt_bnls
"105,550","1,020.73",2016-01-06,tndrloin
"13,985",340.54,2016-01-07,butt_bnls
"145,344","1,011.68",2016-01-07,tndrloin
"2,791",328.06,2016-01-08,butt_bnls
"82,580","1,028.07",2016-01-08,tndrloin
"26,577",325.21,2016-01-11,butt_bnls
"24,935","1,044.63",2016-01-11,tndrloin
"2,086",337.52,2016-01-12,butt_bnls
"26,521","1,023.49",2016-01-12,tndrloin
"5,403",342.68,2016-01-13,butt_bnls
"136,550","1,032.80",2016-01-13,tndrloin
"2,691",344.30,2016-01-14,butt_bnls
"83,775","1,032.20",2016-01-14,tndrloin
"70,665","1,017.62",2016-01-15,tndrloin
"4,871",341.63,2016-01-15,butt_bnls
"19,809","1,026.48",2016-01-18,tndrloin
"8,364",344.01,2016-01-18,butt_bnls
"94,758",963.70,2016-01-19,tndrloin
"3,073",342.66,2016-01-19,butt_bnls
"147,265",998.20,2016-01-20,tndrloin
"1,484",337.48,2016-01-20,butt_bnls
"95,199",996.47,2016-01-21,tndrloin
"10,910",309.53,2016-01-21,butt_bnls
"51,923","1,002.77",2016-01-22,tndrloin
"12,333",313.19,2016-01-22,butt_bnls
"8,411",320.63,2016-01-25,butt_bnls
"36,194","1,037.71",2016-01-25,tndrloin
"9,968",312.53,2016-01-26,butt_bnls
"118,608",995.31,2016-01-26,tndrloin
"141,418",982.52,2016-01-27,tndrloin
"26,072",301.54,2016-01-27,butt_bnls
"132,955",987.16,2016-01-28,tndrloin
"3,982",310.97,2016-01-28,butt_bnls
"67,007","1,016.39",2016-01-29,tndrloin
"27,415",293.00,2016-01-29,butt_bnls
"66,594",993.48,2016-02-01,tndrloin
"32,146",288.80,2016-02-01,butt_bnls
"4,092",317.77,2016-02-02,butt_bnls
"66,765","1,006.46",2016-02-02,tndrloin
"3,928",315.76,2016-02-03,butt_bnls
"135,873",996.36,2016-02-03,tndrloin
"60,128","1,020.77",2016-02-04,tndrloin
"45,303",284.28,2016-02-04,butt_bnls
"30,068","1,006.31",2016-02-05,tndrloin
,,2016-02-05,butt_bnls
"84,405","1,014.80",2016-02-08,tndrloin
"2,149",308.80,2016-02-08,butt_bnls
"3,250",319.19,2016-02-09,butt_bnls
"34,812","1,006.07",2016-02-09,tndrloin
"114,253","1,018.18",2016-02-10,tndrloin
"5,212",314.52,2016-02-10,butt_bnls
"645,749",967.00,2016-02-11,tndrloin
"5,779",314.58,2016-02-11,butt_bnls
"277,499",986.35,2016-02-12,tndrloin
"2,585",319.27,2016-02-12,butt_bnls
