report_date,total_pounds
2023-12-29,3861
2023-12-28,3996
2023-12-27,
2023-12-26,6011
2023-12-22,180175
2023-12-21,48531
2023-12-20,4762
2023-12-19,49929
2023-12-18,38055
2023-12-15,27649
2023-12-14,84975
2023-12-13,97716
2023-12-12,5883
2023-12-11,14835
2023-12-08,
2023-12-07,22370
2023-12-06,2541
2023-12-05,35688
2023-12-04,210123
2023-12-01,51098
2023-11-30,77426
2023-11-29,10629
2023-11-28,79877
2023-11-27,142279
2023-11-24,
2023-11-22,14679
2023-11-21,129494
2023-11-20,430149
2023-11-17,
2023-11-16,25550
2023-11-15,3139
2023-11-14,132366
2023-11-13,15272
2023-11-10,85357
2023-11-09,16890
2023-11-08,13428
2023-11-07,10685
2023-11-06,5835
2023-11-03,
2023-11-02,13681
2023-11-01,11948
2023-10-31,58565
2023-10-30,34492
2023-10-27,25779
2023-10-26,42032
2023-10-25,87248
2023-10-24,13005
2023-10-23,50932
2023-10-20,205591
2023-10-19,24659
2023-10-18,38016
2023-10-17,3263
2023-10-16,213807
2023-10-13,
2023-10-12,25314
2023-10-11,26567
2023-10-10,10798
2023-10-09,13174
2023-10-06,4852
2023-10-05,12899
2023-10-04,274176
2023-10-03,210285
2023-10-02,37772
2023-09-29,
2023-09-28,
2023-09-27,18029
2023-09-26,
2023-09-25,33260
2023-09-22,
2023-09-21,22327
2023-09-20,71656
2023-09-19,252089
2023-09-18,48539
2023-09-15,93849
2023-09-14,11532
2023-09-13,163300
2023-09-12,183246
2023-09-11,14706
2023-09-08,
2023-09-07,17588
2023-09-06,37424
2023-09-05,30050
2023-09-01,
2023-08-31,28938
2023-08-30,90381
2023-08-29,4060
2023-08-28,14372
2023-08-25,39197
2023-08-24,35862
2023-08-23,
2023-08-22,1224
2023-08-21,67613
2023-08-18,107397
2023-08-17,48803
2023-08-16,1077
2023-08-15,8212
2023-08-14,19932
2023-08-11,3301
2023-08-10,12298
2023-08-09,40165
2023-08-08,10914
2023-08-07,4194
2023-08-04,10196
2023-08-03,
2023-08-02,
2023-08-01,4109
2023-07-31,34530
2023-07-28,64441
2023-07-27,9393
2023-07-26,4204
2023-07-25,
2023-07-24,10056
2023-07-21,
2023-07-20,
2023-07-19,86473
2023-07-18,33170
2023-07-17,7236
2023-07-14,
2023-07-13,90420
2023-07-12,25271
2023-07-11,144792
2023-07-10,6381
2023-07-07,1397
2023-07-06,95563
2023-07-05,9610
2023-07-03,24367
2023-06-30,15642
2023-06-29,1879
2023-06-28,
2023-06-27,1715
2023-06-26,16445
2023-06-23,
2023-06-22,
2023-06-21,40639
2023-06-20,
2023-06-19,
2023-06-16,17325
2023-06-15,81584
2023-06-14,39111
2023-06-13,1108
2023-06-12,
2023-06-09,
2023-06-08,4326
2023-06-07,1790
2023-06-06,16335
2023-06-05,
2023-06-02,106699
2023-06-01,
2023-05-31,
2023-05-30,20851
2023-05-26,18957
2023-05-25,
2023-05-24,17800
2023-05-23,41674
2023-05-22,182520
2023-05-19,
2023-05-18,
2023-05-17,10538
2023-05-16,26413
2023-05-15,19301
2023-05-12,37739
2023-05-11,124528
2023-05-10,
2023-05-09,2466
2023-05-08,21237
2023-05-05,
2023-05-04,20465
2023-05-03,190901
2023-05-02,81080
2023-05-01,9543
2023-04-28,66805
2023-04-27,12241
2023-04-26,2391
2023-04-25,91784
2023-04-24,3841
2023-04-21,
2023-04-20,
2023-04-19,25532
2023-04-18,3291
2023-04-17,7217
2023-04-14,
2023-04-13,44516
2023-04-12,96931
2023-04-11,
2023-04-10,123733
2023-04-07,
2023-04-06,
2023-04-05,41373
2023-04-04,89740
2023-04-03,
2023-03-31,
2023-03-30,4652
