report_date,weighted_average
2023-12-29,.00
2023-12-28,
2023-12-27,
2023-12-26,
2023-12-22,399.70
2023-12-21,
2023-12-20,
2023-12-19,
2023-12-18,347.47
2023-12-15,
2023-12-14,.00
2023-12-13,
2023-12-12,
2023-12-11,
2023-12-08,339.51
2023-12-07,
2023-12-06,355.73
2023-12-05,
2023-12-04,.00
2023-12-01,.00
2023-11-30,385.29
2023-11-29,.00
2023-11-28,.00
2023-11-27,
2023-11-24,374.05
2023-11-22,378.47
2023-11-21,.00
2023-11-20,
2023-11-17,
2023-11-16,390.32
2023-11-15,
2023-11-14,.00
2023-11-13,
2023-11-10,
2023-11-09,.00
2023-11-08,
2023-11-07,
2023-11-06,394.00
2023-11-03,.00
2023-11-02,
2023-11-01,
2023-10-31,.00
2023-10-30,
2023-10-27,
2023-10-26,
2023-10-25,.00
2023-10-24,.00
2023-10-23,
2023-10-20,.00
2023-10-19,396.14
2023-10-18,381.98
2023-10-17,
2023-10-16,
2023-10-13,.00
2023-10-12,
2023-10-11,366.88
2023-10-10,
2023-10-09,.00
2023-10-06,410.91
2023-10-05,400.17
2023-10-04,388.01
2023-10-03,.00
2023-10-02,.00
2023-09-29,
2023-09-28,
2023-09-27,
2023-09-26,
2023-09-25,.00
2023-09-22,.00
2023-09-21,
2023-09-20,
2023-09-19,
2023-09-18,.00
2023-09-15,.00
2023-09-14,.00
2023-09-13,
2023-09-12,
2023-09-11,.00
2023-09-08,.00
2023-09-07,453.10
2023-09-06,.00
2023-09-05,
2023-09-01,
2023-08-31,
2023-08-30,
2023-08-29,
2023-08-28,
2023-08-25,
2023-08-24,473.96
2023-08-23,452.41
2023-08-22,
2023-08-21,.00
2023-08-18,465.90
2023-08-17,
2023-08-16,.00
2023-08-15,469.39
2023-08-14,.00
2023-08-11,
2023-08-10,
2023-08-09,.00
2023-08-08,
2023-08-07,
2023-08-04,.00
2023-08-03,451.10
2023-08-02,
2023-08-01,
2023-07-31,
2023-07-28,
2023-07-27,
2023-07-26,
2023-07-25,.00
2023-07-24,.00
2023-07-21,
2023-07-20,491.71
2023-07-19,.00
2023-07-18,.00
2023-07-17,.00
2023-07-14,491.99
2023-07-13,
2023-07-12,
2023-07-11,
2023-07-10,.00
2023-07-07,
2023-07-06,524.36
2023-07-05,
2023-07-03,
2023-06-30,
2023-06-29,
2023-06-28,.00
2023-06-27,.00
2023-06-26,507.50
2023-06-23,
2023-06-22,
2023-06-21,
2023-06-20,
2023-06-19,
2023-06-16,
2023-06-15,533.45
2023-06-14,.00
2023-06-13,.00
2023-06-12,
2023-06-09,
2023-06-08,
2023-06-07,.00
2023-06-06,
2023-06-05,.00
2023-06-02,
2023-06-01,504.78
2023-05-31,
2023-05-30,
2023-05-26,491.18
2023-05-25,503.65
2023-05-24,
2023-05-23,
2023-05-22,500.35
2023-05-19,.00
2023-05-18,
2023-05-17,
2023-05-16,
2023-05-15,.00
2023-05-12,453.26
2023-05-11,
2023-05-10,
2023-05-09,
2023-05-08,.00
2023-05-05,
2023-05-04,
2023-05-03,.00
2023-05-02,
2023-05-01,
2023-04-28,
2023-04-27,
2023-04-26,
2023-04-25,
2023-04-24,
2023-04-21,
2023-04-20,
2023-04-19,430.95
2023-04-18,
2023-04-17,.00
2023-04-14,.00
2023-04-13,.00
2023-04-12,411.43
2023-04-11,.00
2023-04-10,
2023-04-07,.00
2023-04-06,.00
2023-04-05,
2023-04-04,.00
2023-04-03,
2023-03-31,
2023-03-30,.00
2023-03-29,379.60
2023-03-28,
2023-03-27,.00
2023-03-24,
2023-03-23,384.93
2023-03-22,
2023-03-21,.00
2023-03-20,408.42
2023-03-17,
2023-03-16,
2023-03-15,403.33
2023-03-14,
2023-03-13,
2023-03-10,
2023-03-09,391.37
2023-03-08,
2023-03-07,
2023-03-06,
2023-03-03,
2023-03-02,
2023-03-01,
2023-02-28,
2023-02-27,
2023-02-24,.00
2023-02-23,
2023-02-22,
2023-02-21,390.33
2023-02-20,
2023-02-17,
2023-02-16,
2023-02-15,
2023-02-14,.00
2023-02-13,
2023-02-10,
2023-02-09,
2023-02-08,
2023-02-07,
2023-02-06,.00
2023-02-03,.00
2023-02-02,383.53
