report_date,total_pounds
2023-12-29,95500
2023-12-28,73668
2023-12-27,102766
2023-12-26,77609
2023-12-22,53061
2023-12-21,408846
2023-12-20,109054
2023-12-19,87795
2023-12-18,157665
2023-12-15,39362
2023-12-14,91637
2023-12-13,92518
2023-12-12,45314
2023-12-11,171444
2023-12-08,82789
2023-12-07,154560
2023-12-06,86888
2023-12-05,29751
2023-12-04,39069
2023-12-01,95494
2023-11-30,126911
2023-11-29,71057
2023-11-28,204819
2023-11-27,55889
2023-11-24,33065
2023-11-22,256910
2023-11-21,260926
2023-11-20,62461
2023-11-17,31776
2023-11-16,32497
2023-11-15,130708
2023-11-14,31435
2023-11-13,13912
2023-11-10,186769
2023-11-09,40667
2023-11-08,456730
2023-11-07,158404
2023-11-06,7505
2023-11-03,38863
2023-11-02,431734
2023-11-01,34260
2023-10-31,31725
2023-10-30,34947
2023-10-27,84889
2023-10-26,157667
2023-10-25,100025
2023-10-24,31804
2023-10-23,8549
2023-10-20,88740
2023-10-19,147836
2023-10-18,68122
2023-10-17,41928
2023-10-16,59372
2023-10-13,27705
2023-10-12,192940
2023-10-11,85554
2023-10-10,22533
2023-10-09,9011
2023-10-06,60030
2023-10-05,63307
2023-10-04,39574
2023-10-03,65008
2023-10-02,90133
2023-09-29,227309
2023-09-28,72443
2023-09-27,136468
2023-09-26,444534
2023-09-25,82982
2023-09-22,68963
2023-09-21,257713
2023-09-20,66862
2023-09-19,230377
2023-09-18,129585
2023-09-15,195141
2023-09-14,65234
2023-09-13,305837
2023-09-12,184317
2023-09-11,27254
2023-09-08,38849
2023-09-07,281139
2023-09-06,287938
2023-09-05,67161
2023-09-01,63020
2023-08-31,67461
2023-08-30,124215
2023-08-29,37733
2023-08-28,56934
2023-08-25,273594
2023-08-24,75744
2023-08-23,154114
2023-08-22,35384
2023-08-21,88678
2023-08-18,67462
2023-08-17,86781
2023-08-16,73393
2023-08-15,312396
2023-08-14,37389
2023-08-11,69389
2023-08-10,97141
2023-08-09,204379
2023-08-08,162660
2023-08-07,160152
2023-08-04,82649
2023-08-03,115179
2023-08-02,72300
2023-08-01,66119
2023-07-31,95318
2023-07-28,158644
2023-07-27,129536
2023-07-26,99030
2023-07-25,189131
2023-07-24,20808
2023-07-21,47465
2023-07-20,226801
2023-07-19,31706
2023-07-18,75085
2023-07-17,35165
2023-07-14,52378
2023-07-13,229234
2023-07-12,149672
2023-07-11,55612
2023-07-10,52549
