report_date,weighted_average
2023-12-29,1588.83
2023-12-28,1651.55
2023-12-27,1642.82
2023-12-26,1653.68
2023-12-22,1670.98
2023-12-21,1601.18
2023-12-20,1712.89
2023-12-19,1689.77
2023-12-18,1689.81
2023-12-15,1781.20
2023-12-14,1774.92
2023-12-13,1765.99
2023-12-12,1779.70
2023-12-11,1779.48
2023-12-08,1784.07
2023-12-07,1785.22
2023-12-06,1786.72
2023-12-05,1805.54
2023-12-04,1796.59
2023-12-01,1749.65
2023-11-30,1751.39
2023-11-29,1757.87
2023-11-28,1733.60
2023-11-27,1716.51
2023-11-24,1713.48
2023-11-22,1716.08
2023-11-21,1701.43
2023-11-20,1717.79
2023-11-17,1725.70
2023-11-16,1718.00
2023-11-15,1699.45
2023-11-14,1695.75
2023-11-13,1677.72
2023-11-10,1679.67
2023-11-09,1709.00
2023-11-08,1645.13
2023-11-07,1688.30
2023-11-06,1741.75
2023-11-03,1694.92
2023-11-02,1653.09
2023-11-01,1739.48
2023-10-31,1715.33
2023-10-30,1702.79
2023-10-27,1645.48
2023-10-26,1638.07
2023-10-25,1663.31
2023-10-24,1675.53
2023-10-23,1786.21
2023-10-20,1590.54
2023-10-19,1579.44
2023-10-18,1647.44
2023-10-17,1586.48
2023-10-16,1569.51
2023-10-13,1542.45
2023-10-12,1561.32
2023-10-11,1551.05
2023-10-10,1622.46
2023-10-09,1619.23
2023-10-06,1510.46
2023-10-05,1477.46
2023-10-04,1546.54
2023-10-03,1534.79
2023-10-02,1476.46
2023-09-29,1457.78
2023-09-28,1430.89
2023-09-27,1432.15
2023-09-26,1400.05
2023-09-25,1382.78
2023-09-22,1429.66
2023-09-21,1400.94
2023-09-20,1459.02
2023-09-19,1403.17
2023-09-18,1408.54
2023-09-15,1396.72
2023-09-14,1433.68
2023-09-13,1390.94
2023-09-12,1411.19
2023-09-11,1449.42
2023-09-08,1470.28
2023-09-07,1444.61
2023-09-06,1453.71
2023-09-05,1501.15
2023-09-01,1489.36
2023-08-31,1505.00
2023-08-30,1488.59
2023-08-29,1529.34
2023-08-28,1451.87
2023-08-25,1436.09
2023-08-24,1469.83
2023-08-23,1464.96
2023-08-22,1511.85
2023-08-21,1453.00
2023-08-18,1439.05
2023-08-17,1420.36
2023-08-16,1443.13
2023-08-15,1397.44
2023-08-14,1403.61
2023-08-11,1397.57
2023-08-10,1391.09
2023-08-09,1387.66
2023-08-08,1370.47
2023-08-07,1364.01
2023-08-04,1361.34
2023-08-03,1365.59
2023-08-02,1365.40
2023-08-01,1370.22
2023-07-31,1337.56
2023-07-28,1341.40
2023-07-27,1352.25
2023-07-26,1378.46
2023-07-25,1360.56
2023-07-24,1407.56
2023-07-21,1384.22
2023-07-20,1343.30
2023-07-19,1403.19
2023-07-18,1380.50
2023-07-17,1380.26
2023-07-14,1418.66
2023-07-13,1361.28
2023-07-12,1388.33
2023-07-11,1407.81
2023-07-10,1396.46
2023-07-07,1412.98
2023-07-06,1448.98
2023-07-05,1508.36
2023-07-03,1391.21
2023-06-30,1427.18
2023-06-29,1435.78
2023-06-28,1466.60
2023-06-27,1394.94
2023-06-26,1405.14
2023-06-23,1395.05
2023-06-22,1436.09
2023-06-21,1533.58
2023-06-20,1587.22
2023-06-19,1522.82
2023-06-16,1568.69
2023-06-15,1574.39
2023-06-14,1598.39
2023-06-13,1578.93
2023-06-12,1554.08
2023-06-09,1549.19
2023-06-08,1554.87
2023-06-07,1544.57
2023-06-06,1531.83
2023-06-05,1494.33
2023-06-02,1493.62
2023-06-01,1481.77
2023-05-31,1476.40
2023-05-30,1478.24
2023-05-26,1456.28
2023-05-25,1456.87
2023-05-24,1447.45
2023-05-23,1447.81
2023-05-22,1452.69
2023-05-19,1444.97
2023-05-18,1440.41
