year_week,total_pounds
2017-01,47284.0
2017-02,46545.0
2017-03,192155.0
2017-04,127854.0
2017-05,99964.0
2017-06,32582.0
2017-07,205688.0
2017-08,180391.0
2017-09,100933.0
2017-10,61824.0
2017-11,59781.0
2017-12,49326.0
2017-13,38465.0
2017-14,57620.0
2017-15,52801.0
2017-16,42246.0
2017-17,365771.0
2017-18,275390.0
2017-19,15450.0
2017-20,31708.0
2017-21,36837.0
2017-22,89402.0
2017-23,76267.0
2017-24,192234.0
2017-25,141569.0
2017-26,101223.0
2017-27,82265.0
2017-28,132884.0
2017-29,32739.0
2017-30,247088.0
2017-31,155186.0
2017-32,109866.0
2017-33,118352.0
2017-34,38124.0
2017-35,572364.0
2017-36,125082.0
2017-37,354374.0
2017-38,485026.0
2017-39,263149.0
2017-40,97263.0
2017-41,127195.0
2017-42,97855.0
2017-43,94462.0
2017-44,70223.0
2017-45,20444.0
2017-46,47661.0
2017-47,64100.0
2017-48,59834.0
2017-49,17416.0
2017-50,48640.0
2017-51,15344.0
2017-52,125636.0
2018-00,100216.0
2018-01,165033.0
2018-02,353897.0
2018-03,273594.0
2018-04,389117.0
2018-05,241529.0
2018-06,40350.0
2018-07,406595.0
2018-08,32120.0
2018-09,444700.0
2018-10,174992.0
2018-11,64506.0
2018-12,101530.0
2018-13,2689.0
2018-14,84414.0
2018-15,249031.0
2018-16,183328.0
2018-17,45188.0
2018-18,89933.0
2018-19,83269.0
2018-20,123028.0
2018-21,115208.0
2018-22,114429.0
2018-23,150448.0
2018-24,157578.0
2018-25,174306.0
2018-26,37676.0
2018-27,270074.0
2018-28,248697.0
2018-29,273224.0
2018-30,227221.0
2018-31,223107.0
2018-32,34420.0
2018-33,68073.0
2018-34,188009.0
2018-35,268281.0
2018-36,161592.0
2018-37,57153.0
2018-38,120308.0
2018-39,296301.0
2018-40,184813.0
2018-41,49437.0
2018-42,71687.0
2018-43,33384.0
2018-44,105774.0
2018-45,26526.0
2018-46,31640.0
2018-47,16580.0
2018-48,132372.0
2018-49,56785.0
2018-50,25533.0
2018-51,165610.0
2018-52,0.0
2019-00,228930.0
2019-01,228281.0
2019-02,159000.0
2019-03,31346.0
2019-04,93089.0
2019-05,41852.0
2019-06,97803.0
2019-07,146038.0
2019-08,268880.0
2019-09,81033.0
2019-10,343177.0
2019-11,230562.0
2019-12,187910.0
2019-13,152765.0
2019-14,346959.0
2019-15,90355.0
2019-16,225692.0
2019-17,482286.0
2019-18,57392.0
2019-19,10487.0
2019-20,352573.0
2019-21,84757.0
2019-22,425779.0
2019-23,7842.0
2019-24,188214.0
2019-25,457465.0
2019-26,161618.0
2019-27,29844.0
2019-28,446413.0
2019-29,68600.0
2019-30,86542.0
2019-31,44941.0
2019-32,84329.0
2019-33,94995.0
2019-34,54982.0
2019-35,31795.0
2019-36,153020.0
2019-37,40470.0
2019-38,172672.0
2019-39,60996.0
2019-40,20371.0
2019-41,16956.0
2019-42,35793.0
2019-43,40478.0
2019-44,215941.0
2019-45,765679.0
2019-46,239137.0
2019-47,331916.0
2019-48,473279.0
2019-49,405645.0
2019-50,127659.0
2019-51,173220.0
2019-52,90595.0
2020-00,118065.0
2020-01,754021.0
2020-02,229013.0
2020-03,2706.0
2020-04,183511.0
2020-05,352944.0
2020-06,56191.0
2020-07,258284.0
2020-08,34043.0
2020-09,264168.0
2020-10,114943.0
2020-11,157079.0
2020-12,56202.0
2020-13,196800.0
2020-14,152823.0
2020-15,283345.0
2020-16,0.0
2020-17,0.0
2020-18,0.0
2020-19,0.0
2020-20,0.0
2020-21,0.0
2020-22,0.0
2020-23,26946.0
2020-24,530019.0
2020-25,151434.0
2020-26,114442.0
2020-27,362326.0
2020-28,317045.0
2020-29,28630.0
2020-30,17049.0
2020-31,51239.0
2020-32,64411.0
2020-33,86664.0
2020-34,27826.0
2020-35,8425.0
2020-36,14286.0
2020-37,281188.0
2020-38,156590.0
2020-39,16745.0
2020-40,488050.0
2020-41,253706.0
2020-42,303981.0
2020-43,566602.0
2020-44,51883.0
2020-45,13670.0
2020-46,5674.0
2020-47,0.0
2020-48,309995.0
2020-49,36164.0
2020-50,6103.0
2020-51,31564.0
2020-52,20562.0
2021-01,398303.0
2021-02,156236.0
2021-03,179882.0
2021-04,84304.0
2021-05,140159.0
2021-06,104065.0
2021-07,144998.0
2021-08,44801.0
2021-09,106175.0
2021-10,135471.0
2021-11,53755.0
2021-12,116384.0
2021-13,14492.0
2021-14,85591.0
2021-15,241895.0
2021-16,52780.0
2021-17,79964.0
2021-18,151995.0
2021-19,32658.0
2021-20,78666.0
2021-21,32797.0
2021-22,254686.0
2021-23,19526.0
2021-24,68657.0
2021-25,356820.0
2021-26,80087.0
2021-27,115751.0
2021-28,248062.0
2021-29,117455.0
2021-30,53038.0
2021-31,62396.0
2021-32,49231.0
2021-33,18103.0
2021-34,18605.0
2021-35,42461.0
2021-36,89054.0
2021-37,460834.0
2021-38,253575.0
2021-39,24602.0
2021-40,233108.0
2021-41,288138.0
2021-42,175802.0
2021-43,57532.0
2021-44,147690.0
2021-45,111560.0
2021-46,295687.0
2021-47,336827.0
2021-48,224525.0
2021-49,154965.0
2021-50,58284.0
2021-51,72714.0
2021-52,59779.0
2022-01,51717.0
2022-02,2808.0
2022-03,75306.0
2022-04,130237.0
2022-05,23421.0
2022-06,85343.0
2022-07,56112.0
2022-08,86749.0
2022-09,190255.0
2022-10,26208.0
2022-11,28617.0
2022-12,46250.0
2022-13,45631.0
2022-14,178344.0
2022-15,125254.0
2022-16,338873.0
2022-17,77646.0
2022-18,191422.0
2022-19,135460.0
2022-20,54585.0
2022-21,81374.0
2022-22,35446.0
2022-23,215519.0
2022-24,90123.0
2022-25,156095.0
2022-26,63638.0
2022-27,22543.0
2022-28,130622.0
2022-29,106296.0
2022-30,159887.0
2022-31,187648.0
2022-32,203342.0
2022-33,179085.0
2022-34,84722.0
2022-35,143402.0
2022-36,137180.0
2022-37,315302.0
2022-38,89745.0
2022-39,117295.0
2022-40,103594.0
2022-41,59781.0
2022-42,89412.0
2022-43,87649.0
2022-44,274508.0
2022-45,71662.0
2022-46,119475.0
2022-47,52121.0
2022-48,80877.0
2022-49,250392.0
2022-50,40630.0
2022-51,74528.0
2022-52,55185.0
2023-01,57272.0
2023-02,260301.0
2023-03,79832.0
2023-04,227795.0
2023-05,82251.0
2023-06,55190.0
2023-07,32562.0
2023-08,260805.0
2023-09,92908.0
2023-10,383183.0
2023-11,157788.0
2023-12,128420.0
2023-13,240702.0
2023-14,131113.0
2023-15,265180.0
2023-16,36040.0
2023-17,177062.0
2023-18,301989.0
2023-19,185970.0
2023-20,56252.0
2023-21,260951.0
2023-22,127550.0
2023-23,22451.0
2023-24,139128.0
2023-25,40639.0
2023-26,35681.0
2023-27,130937.0
2023-28,266864.0
2023-29,126879.0
2023-30,88094.0
2023-31,48835.0
2023-32,70872.0
2023-33,185421.0
2023-34,143896.0
2023-35,137751.0
2023-36,85062.0
2023-37,466633.0
2023-38,394611.0
2023-39,51289.0
2023-40,539984.0
2023-41,75853.0
2023-42,485336.0
2023-43,218996.0
2023-44,118686.0
2023-45,132195.0
2023-46,176327.0
2023-47,574322.0
2023-48,361309.0
2023-49,270722.0
2023-50,231058.0
2023-51,321452.0
2023-52,13868.0
