year_week,weighted_average
2017-01,367.055
2017-02,369.45666666666665
2017-03,388.87
2017-04,377.076
2017-05,412.22
2017-06,404.765
2017-07,383.0425
2017-08,443.9275
2017-09,456.6933333333333
2017-10,501.2475
2017-11,502.74666666666667
2017-12,550.5166666666667
2017-13,533.355
2017-14,520.2133333333333
2017-15,482.2
2017-16,496.56
2017-17,503.408
2017-18,499.73
2017-19,527.98
2017-20,544.2425
2017-21,536.48
2017-22,482.7
2017-23,531.3933333333333
2017-24,505.6325
2017-25,480.4199999999999
2017-26,486.1566666666667
2017-27,510.33
2017-28,501.4
2017-29,516.504
2017-30,511.06
2017-31,505.49
2017-32,479.97749999999996
2017-33,484.8825
2017-34,462.62
2017-35,402.605
2017-36,366.3725
2017-37,356.6825
2017-38,342.9625
2017-39,340.75
2017-40,352.25
2017-41,343.76
2017-42,356.5525
2017-43,362.99
2017-44,379.5466666666666
2017-45,420.13
2017-46,418.99
2017-47,424.205
2017-48,432.96500000000003
2017-49,442.65999999999997
2017-50,448.8633333333334
2017-51,472.21000000000004
2017-52,461.29499999999996
2018-00,475.41499999999996
2018-01,481.59
2018-02,483.575
2018-03,488.5675
2018-04,464.71000000000004
2018-05,467.3966666666667
2018-06,475.995
2018-07,469.6233333333334
2018-08,474.22
2018-09,468.52250000000004
2018-10,462.41
2018-11,466.67
2018-12,482.84666666666664
2018-13,498.765
2018-14,445.48333333333335
2018-15,454.966
2018-16,464.43999999999994
2018-17,464.75
2018-18,492.10999999999996
2018-19,499.2575
2018-20,500.26750000000004
2018-21,482.925
2018-22,507.15000000000003
2018-23,496.2833333333333
2018-24,482.31
2018-25,482.04799999999994
2018-26,500.07
2018-27,457.67333333333335
2018-28,441.4533333333333
2018-29,445.52199999999993
2018-30,425.0566666666667
2018-31,434.224
2018-32,447.0625
2018-33,433.96999999999997
2018-34,399.89750000000004
2018-35,402.06
2018-36,386.51
2018-37,392.1233333333333
2018-38,392.7025
2018-39,379.3
2018-40,379.8875
2018-41,377.31
2018-42,389.975
2018-43,402.6475
2018-44,425.5675
2018-45,436.975
2018-46,450.22
2018-47,462.0333333333333
2018-48,446.46000000000004
2018-49,471.68
2018-50,475.38
2018-51,478.2266666666667
2018-52,
2019-00,453.35
2019-01,465.7925
2019-02,478.4866666666667
2019-03,490.845
2019-04,481.55
2019-05,498.82
2019-06,487.2366666666667
2019-07,495.3233333333333
2019-08,498.17333333333335
2019-09,500.8075
2019-10,483.19
2019-11,490.75600000000003
2019-12,483.91333333333336
2019-13,489.50333333333333
2019-14,470.36999999999995
2019-15,486.93333333333334
2019-16,494.95
2019-17,457.25333333333333
2019-18,470.505
2019-19,470.96
2019-20,452.77750000000003
2019-21,439.28
2019-22,395.99
2019-23,416.65333333333336
2019-24,453.8075
2019-25,397.63
2019-26,403.28
2019-27,423.58000000000004
2019-28,391.6525
2019-29,427.355
2019-30,399.17333333333335
2019-31,415.9225
2019-32,438.53
2019-33,425.34749999999997
2019-34,424.22
2019-35,426.31666666666666
2019-36,408.6175
2019-37,411.03
2019-38,421.31666666666666
2019-39,423.9533333333334
2019-40,423.51666666666665
2019-41,426.9
2019-42,456.765
2019-43,473.26666666666665
2019-44,488.18666666666667
2019-45,466.916
2019-46,461.53499999999997
2019-47,427.76666666666665
2019-48,385.9633333333333
2019-49,383.67333333333335
2019-50,392.328
2019-51,388.42499999999995
2019-52,392.98
2020-00,396.03
2020-01,390.895
2020-02,407.5725
2020-03,448.34
2020-04,423.0466666666667
2020-05,412.2825
2020-06,420.50333333333333
2020-07,403.5
2020-08,426.5825
2020-09,393.865
2020-10,385.555
2020-11,485.45
2020-12,468.07
2020-13,281.0
2020-14,360.0
2020-15,391.81666666666666
2020-16,
2020-17,0.0
2020-18,0.0
2020-19,0.0
2020-20,0.0
2020-21,0.0
2020-22,0.0
2020-23,407.31
2020-24,262.2166666666667
2020-25,388.366
2020-26,419.2366666666667
2020-27,276.22
2020-28,291.8925
2020-29,449.48
2020-30,309.32
2020-31,293.7866666666667
2020-32,428.11
2020-33,465.21400000000006
2020-34,364.645
2020-35,501.9
2020-36,524.885
2020-37,430.9225
2020-38,425.2
2020-39,423.58500000000004
2020-40,400.07
2020-41,315.39
2020-42,384.21
2020-43,372.2575
2020-44,397.50333333333333
2020-45,210.15
2020-46,225.79
2020-47,0.0
2020-48,220.0075
2020-49,219.8325
2020-50,222.28
2020-51,403.62
2020-52,283.1333333333334
2021-01,390.03000000000003
2021-02,395.2
2021-03,426.7866666666667
2021-04,222.625
2021-05,433.685
2021-06,423.14
2021-07,429.89
2021-08,301.56333333333333
2021-09,399.135
2021-10,440.46400000000006
2021-11,457.40999999999997
2021-12,473.8066666666667
2021-13,524.585
2021-14,620.9200000000001
2021-15,615.095
2021-16,643.304
2021-17,668.9066666666666
2021-18,683.8666666666667
2021-19,466.10999999999996
2021-20,743.065
2021-21,746.65
2021-22,717.4966666666666
2021-23,757.7475
2021-24,660.3125
2021-25,603.7574999999999
2021-26,551.89
2021-27,404.7625
2021-28,480.2975
2021-29,541.5425
2021-30,500.66333333333336
2021-31,511.93333333333334
2021-32,615.04
2021-33,511.275
2021-34,478.57
2021-35,704.88
2021-36,669.0433333333334
2021-37,587.6
2021-38,497.8866666666666
2021-39,385.37999999999994
2021-40,473.425
2021-41,481.21400000000006
2021-42,467.55333333333334
2021-43,368.0125
2021-44,487.74
2021-45,504.78
2021-46,464.4475
2021-47,480.0025
2021-48,493.26599999999996
2021-49,479.39000000000004
2021-50,469.9
2021-51,474.6975
2021-52,497.1425
2022-01,516.795
2022-02,604.7
2022-03,562.9233333333333
2022-04,585.2199999999999
2022-05,615.9849999999999
2022-06,449.81000000000006
2022-07,572.144
2022-08,529.9833333333333
2022-09,575.754
2022-10,611.3566666666667
2022-11,571.355
2022-12,464.396
2022-13,581.3775
2022-14,549.155
2022-15,571.768
2022-16,566.154
2022-17,472.63
2022-18,549.222
2022-19,560.81
2022-20,583.42
2022-21,579.4680000000001
2022-22,575.61
2022-23,530.984
2022-24,539.5975
2022-25,513.345
2022-26,567.22
2022-27,553.79
2022-28,541.818
2022-29,512.0025
2022-30,526.89
2022-31,508.2525
2022-32,524.082
2022-33,523.976
2022-34,559.4075
2022-35,548.55
2022-36,535.21
2022-37,505.668
2022-38,537.0925
2022-39,531.38
2022-40,510.2525
2022-41,503.00333333333333
2022-42,511.034
2022-43,509.94
2022-44,379.1775
2022-45,517.232
2022-46,509.845
2022-47,514.14
2022-48,503.34
2022-49,492.4266666666667
2022-50,529.88
2022-51,513.8175
2022-52,517.6433333333333
2023-01,526.77
2023-02,551.0225
2023-03,544.8925
2023-04,523.318
2023-05,546.07
2023-06,397.6
2023-07,449.21399999999994
2023-08,596.104
2023-09,603.618
2023-10,586.442
2023-11,585.732
2023-12,461.854
2023-13,474.316
2023-14,583.0150000000001
2023-15,583.3066666666667
2023-16,620.4200000000001
2023-17,585.346
2023-18,581.6925
2023-19,569.9350000000001
2023-20,574.61
2023-21,582.02
2023-22,623.365
2023-23,630.6566666666666
2023-24,619.2674999999999
2023-25,323.23
2023-26,658.96
2023-27,624.3125
2023-28,571.6800000000001
2023-29,562.7833333333333
2023-30,592.3425
2023-31,607.5433333333334
2023-32,597.73
2023-33,631.4739999999999
2023-34,640.99
2023-35,632.5475
2023-36,460.65749999999997
2023-37,571.992
2023-38,556.875
2023-39,599.09
2023-40,578.08
2023-41,573.375
2023-42,557.97
2023-43,561.61
2023-44,552.9925
2023-45,553.332
2023-46,574.9975
2023-47,552.5333333333333
2023-48,533.246
2023-49,548.9025
2023-50,550.3140000000001
2023-51,555.654
2023-52,565.9333333333333
