year_week,weighted_average
2016-01,328.12
2016-02,338.268
2016-03,329.37399999999997
2016-04,307.73400000000004
2016-05,301.6525
2016-06,315.272
2016-07,330.9525
2016-08,354.14
2016-09,369.318
2016-10,383.20799999999997
2016-11,405.77
2016-12,419.1675
2016-13,417.53000000000003
2016-14,428.2575
2016-15,443.9
2016-16,442.258
2016-17,447.65599999999995
2016-18,437.3533333333333
2016-19,430.014
2016-20,455.18666666666667
2016-21,442.605
2016-22,428.145
2016-23,422.988
2016-24,386.46
2016-25,354.826
2016-26,346.144
2016-27,350.3875
2016-28,363.59000000000003
2016-29,359.2366666666667
2016-30,343.294
2016-31,341.918
2016-32,346.71
2016-33,356.5375
2016-34,354.744
2016-35,348.7625
2016-36,332.2075
2016-37,323.616
2016-38,311.9925
2016-39,298.406
2016-40,275.615
2016-41,260.972
2016-42,250.62199999999999
2016-43,243.725
2016-44,234.7825
2016-45,218.455
2016-46,204.726
2016-47,203.67000000000002
2016-48,208.4333333333333
2016-49,212.62
2016-50,212.8325
2016-51,218.67333333333332
2016-52,240.89
2017-01,242.3975
2017-02,241.04500000000002
2017-03,239.01999999999998
2017-04,236.946
2017-05,255.654
2017-06,261.526
2017-07,271.12600000000003
2017-08,289.73
2017-09,315.71500000000003
2017-10,335.02750000000003
2017-11,380.068
2017-12,395.736
2017-13,389.915
2017-14,386.7
2017-15,356.866
2017-16,347.52750000000003
2017-17,343.348
2017-18,357.66333333333336
2017-19,373.1525
2017-20,368.12
2017-21,355.365
2017-22,339.12000000000006
2017-23,347.5425
2017-24,351.7475
2017-25,358.524
2017-26,361.515
2017-27,367.0175
2017-28,371.2633333333333
2017-29,367.8575
2017-30,364.925
2017-31,361.196
2017-32,351.01
2017-33,333.204
2017-34,320.6175
2017-35,281.8075
2017-36,265.7725
2017-37,267.1775
2017-38,256.6175
2017-39,253.25
2017-40,233.256
2017-41,233.98200000000003
2017-42,241.78400000000002
2017-43,242.25666666666666
2017-44,244.858
2017-45,262.0366666666667
2017-46,284.385
2017-47,292.13666666666666
2017-48,289.896
2017-49,287.394
2017-50,308.57
2017-51,319.95
2017-52,326.75
2018-00,331.1433333333334
2018-01,338.53499999999997
2018-02,337.666
2018-03,336.33
2018-04,334.254
2018-05,332.75
2018-06,331.9
2018-07,328.69
2018-08,329.33599999999996
2018-09,334.82666666666665
2018-10,330.56
2018-11,332.995
2018-12,336.61
2018-13,326.895
2018-14,326.98400000000004
2018-15,317.084
2018-16,322.8075
2018-17,332.6125
2018-18,337.6375
2018-19,351.105
2018-20,338.2625
2018-21,342.895
2018-22,348.67199999999997
2018-23,354.74
2018-24,352.84999999999997
2018-25,351.31
2018-26,345.08000000000004
2018-27,338.67
2018-28,333.0233333333333
2018-29,326.8425
2018-30,323.47333333333336
2018-31,310.3
2018-32,301.4175
2018-33,297.0733333333333
2018-34,291.7033333333333
2018-35,279.4766666666667
2018-36,271.2925
2018-37,271.1575
2018-38,257.0933333333333
2018-39,257.8433333333333
2018-40,256.31
2018-41,248.71
2018-42,260.4825
2018-43,285.65999999999997
2018-44,292.73
2018-45,294.47
2018-46,318.43
2018-47,311.355
2018-48,318.0733333333333
2018-49,330.17333333333335
2018-50,338.92
2018-51,337.435
2018-52,325.38
2019-00,339.315
2019-01,333.205
2019-02,331.51
2019-03,350.496
2019-04,344.495
2019-05,345.57000000000005
2019-06,347.3675
2019-07,354.81
2019-08,345.75
2019-09,353.83
2019-10,348.725
2019-11,353.73
2019-12,326.67
2019-13,352.1666666666667
2019-14,358.025
2019-15,351.2025
2019-16,352.89750000000004
2019-17,342.205
2019-18,339.12
2019-19,326.1425
2019-20,311.565
2019-21,309.0175
2019-22,320.63
2019-23,308.90500000000003
2019-24,307.525
2019-25,309.12666666666667
2019-26,311.38
2019-27,308.4633333333333
2019-28,306.44
2019-29,302.18
2019-30,296.605
2019-31,294.00333333333333
2019-32,297.60999999999996
2019-33,310.655
2019-34,300.06
2019-35,296.55333333333334
2019-36,286.02
2019-37,289.65
2019-38,291.56
2019-39,277.0
2019-40,287.5833333333333
2019-41,293.45
2019-42,311.235
2019-43,337.69
2019-44,341.38
2019-45,343.29499999999996
2019-46,290.26
2019-47,322.4
2019-48,284.54
2019-49,280.1166666666666
2019-50,273.465
2019-51,276.67
2019-52,277.04
2020-00,280.87
2020-01,273.475
2020-02,283.14
2020-03,289.3925
2020-04,297.235
2020-05,297.8633333333333
2020-06,290.56666666666666
2020-07,287.94
2020-08,284.68
2020-09,279.75
2020-10,283.295
2020-11,304.775
2020-12,308.625
2020-13,295.06
2020-14,268.97
2020-15,216.925
2020-16,297.55333333333334
2020-17,122.365
2020-18,0.0
2020-19,0.0
2020-20,0.0
2020-21,0.0
2020-22,353.15000000000003
2020-23,102.67
2020-24,214.04500000000002
2020-25,169.27333333333334
2020-26,255.66
2020-27,174.5666666666667
2020-28,0.0
2020-29,124.7
2020-30,288.97
2020-31,136.775
2020-32,302.87
2020-33,204.29333333333332
