year_week,total_pounds
2016-01,603492
2016-02,342446
2016-03,408954
2016-04,496182
2016-05,359428
2016-06,1156718
2016-07,498732
2016-08,438549
2016-09,408254
2016-10,302812
2016-11,221721
2016-12,1227180
2016-13,434788
2016-14,1462915
2016-15,508882
2016-16,531342
2016-17,579492
2016-18,907600
2016-19,585073
2016-20,179653
2016-21,195663
2016-22,231111
2016-23,352553
2016-24,368583
2016-25,778789
2016-26,672938
2016-27,203763
2016-28,411117
2016-29,252787
2016-30,448953
2016-31,344689
2016-32,477795
2016-33,327683
2016-34,353741
2016-35,622253
2016-36,646573
2016-37,791708
2016-38,571677
2016-39,794807
2016-40,405144
2016-41,474613
2016-42,940991
2016-43,375921
2016-44,189146
2016-45,408962
2016-46,262985
2016-47,115518
2016-48,193084
2016-49,290850
2016-50,982414
2016-51,644825
2016-52,570281
2017-01,616948
2017-02,777458
2017-03,532454
2017-04,506527
2017-05,524388
2017-06,560438
2017-07,997285
2017-08,738487
2017-09,397974
2017-10,427307
2017-11,443682
2017-12,203394
2017-13,558236
2017-14,528511
2017-15,574286
2017-16,249461
2017-17,326159
2017-18,196799
2017-19,310487
2017-20,545584
2017-21,425384
2017-22,409431
2017-23,368960
2017-24,371422
2017-25,435531
2017-26,364515
2017-27,351202
2017-28,453469
2017-29,731246
2017-30,375125
2017-31,480239
2017-32,542412
2017-33,321691
2017-34,1161843
2017-35,389860
2017-36,886027
2017-37,442080
2017-38,358227
2017-39,223408
2017-40,423373
2017-41,599865
2017-42,438676
2017-43,383837
2017-44,351358
2017-45,348207
2017-46,346828
2017-47,178610
2017-48,286253
2017-49,343015
2017-50,654009
2017-51,667411
2017-52,1294270
2018-00,386442
2018-01,408159
2018-02,679542
2018-03,781998
2018-04,679302
2018-05,648414
2018-06,780477
2018-07,701270
2018-08,489894
2018-09,391382
2018-10,241335
2018-11,720617
2018-12,346502
2018-13,1072926
2018-14,974794
2018-15,710254
2018-16,549675
2018-17,373317
2018-18,360145
2018-19,427129
2018-20,239223
2018-21,410773
2018-22,234592
2018-23,405878
2018-24,568060
2018-25,529478
2018-26,656077
2018-27,491961
2018-28,798356
2018-29,595037
2018-30,453101
2018-31,613218
2018-32,224848
2018-33,393827
2018-34,212901
2018-35,585258
2018-36,556700
2018-37,521132
2018-38,238468
2018-39,287398
2018-40,226166
2018-41,269714
2018-42,322401
2018-43,366567
2018-44,287032
2018-45,295780
2018-46,387544
2018-47,614239
2018-48,408542
2018-49,642972
2018-50,561721
2018-51,498846
2018-52,306982
2019-00,362993
2019-01,569282
2019-02,379990
2019-03,241071
2019-04,567473
2019-05,722419
2019-06,826728
2019-07,435605
2019-08,447115
2019-09,353934
2019-10,525121
2019-11,577681
2019-12,387290
2019-13,499009
2019-14,457104
2019-15,334898
2019-16,384789
2019-17,375860
2019-18,438902
2019-19,456033
2019-20,592676
2019-21,325915
2019-22,356280
2019-23,518022
2019-24,383112
2019-25,328298
2019-26,452955
2019-27,482337
2019-28,452911
2019-29,757726
2019-30,389129
2019-31,434837
2019-32,284657
2019-33,267198
2019-34,212872
2019-35,190562
2019-36,314203
2019-37,353687
2019-38,284021
2019-39,437873
2019-40,177046
2019-41,363013
2019-42,424822
2019-43,215116
2019-44,263388
2019-45,252800
2019-46,330648
2019-47,500446
2019-48,586473
2019-49,546721
2019-50,741945
2019-51,525596
2019-52,249342
2020-00,307162
2020-01,1144287
2020-02,366837
2020-03,469864
2020-04,321410
2020-05,399593
2020-06,470569
