year_week,weighted_average
2016-01,1017.158
2016-02,1030.148
2016-03,997.524
2016-04,1003.818
2016-05,1004.676
2016-06,998.4799999999999
2016-07,1010.426
2016-08,1049.794
2016-09,1082.16
2016-10,1087.428
2016-11,1115.0040000000001
2016-12,1043.34
2016-13,1033.632
2016-14,977.336
2016-15,984.7520000000001
2016-16,983.338
2016-17,942.8520000000001
2016-18,911.82
2016-19,950.816
2016-20,1036.774
2016-21,1047.426
2016-22,1062.53
2016-23,1054.692
2016-24,1026.85
2016-25,978.4379999999999
2016-26,937.7040000000001
2016-27,962.9
2016-28,987.8639999999999
2016-29,988.4639999999999
2016-30,977.466
2016-31,992.3100000000001
2016-32,1002.358
2016-33,998.47
2016-34,994.9200000000001
2016-35,973.4780000000001
2016-36,950.1675
2016-37,929.424
2016-38,919.8799999999999
2016-39,917.872
2016-40,909.664
2016-41,887.4979999999999
2016-42,862.47
2016-43,898.0
2016-44,929.3979999999999
2016-45,957.3380000000001
2016-46,995.848
2016-47,1041.1875
2016-48,1058.8600000000001
2016-49,1063.096
2016-50,1002.75
2016-51,956.934
2016-52,946.0025
2017-01,932.2725
2017-02,902.3119999999999
2017-03,897.8059999999999
2017-04,905.3979999999999
2017-05,921.3280000000001
2017-06,901.018
2017-07,913.5719999999999
2017-08,964.2180000000001
2017-09,1006.34
2017-10,1051.898
2017-11,1102.396
2017-12,1129.984
2017-13,1058.446
2017-14,1020.992
2017-15,1011.7760000000001
2017-16,1021.8700000000001
2017-17,1025.998
2017-18,1081.732
2017-19,1086.702
2017-20,1049.86
2017-21,1015.058
2017-22,1007.2725
2017-23,1038.26
2017-24,1038.76
2017-25,1014.012
2017-26,1006.61
2017-27,1002.5525
2017-28,977.4100000000001
2017-29,947.396
2017-30,952.4100000000001
2017-31,948.384
2017-32,928.326
2017-33,924.086
2017-34,881.588
2017-35,879.034
2017-36,881.0550000000001
2017-37,897.7860000000001
2017-38,892.266
2017-39,922.4100000000001
2017-40,923.874
2017-41,921.7040000000001
2017-42,953.2940000000001
2017-43,984.74
2017-44,1034.838
2017-45,1092.402
2017-46,1133.774
2017-47,1160.04
2017-48,1161.876
2017-49,1145.356
2017-50,1058.734
2017-51,984.26
2017-52,942.5575
2018-00,964.5525
2018-01,968.9380000000001
2018-02,947.2719999999999
2018-03,934.4399999999999
2018-04,941.5
2018-05,938.8979999999999
2018-06,941.566
2018-07,973.984
2018-08,991.49
2018-09,1001.2700000000001
2018-10,1009.758
2018-11,988.1959999999999
2018-12,986.9620000000001
2018-13,918.6119999999999
2018-14,876.832
2018-15,872.96
2018-16,916.124
2018-17,971.0200000000001
2018-18,999.4780000000001
2018-19,1010.856
2018-20,998.708
2018-21,1002.0799999999999
2018-22,1015.818
2018-23,969.5360000000001
2018-24,952.9
2018-25,925.914
2018-26,923.4780000000001
2018-27,911.616
2018-28,901.8459999999999
2018-29,907.508
2018-30,921.934
2018-31,911.086
2018-32,943.2760000000001
2018-33,954.934
2018-34,973.348
2018-35,926.875
2018-36,928.2860000000001
2018-37,944.434
2018-38,986.564
2018-39,999.256
2018-40,1022.51
2018-41,1051.534
2018-42,1102.806
2018-43,1141.2720000000002
2018-44,1154.3719999999998
2018-45,1182.492
2018-46,1175.7424999999998
2018-47,1180.592
2018-48,1171.084
2018-49,1135.5819999999999
2018-50,1079.938
2018-51,1038.7366666666667
2018-52,991.51
2019-00,1041.7
2019-01,1030.462
2019-02,1043.498
2019-03,1072.0120000000002
2019-04,1045.556
2019-05,1018.5559999999999
2019-06,1006.78
2019-07,1010.948
2019-08,1009.144
2019-09,1029.3020000000001
2019-10,1015.1139999999999
2019-11,986.406
2019-12,980.8100000000001
2019-13,983.4860000000001
2019-14,969.2639999999999
2019-15,974.838
2019-16,977.0619999999999
2019-17,974.7040000000001
2019-18,967.7719999999999
2019-19,967.24
2019-20,963.742
2019-21,967.5975
2019-22,972.36
2019-23,960.012
2019-24,974.198
2019-25,976.302
2019-26,962.7225000000001
2019-27,955.418
2019-28,951.326
2019-29,922.448
2019-30,940.594
2019-31,956.61
2019-32,994.3059999999999
2019-33,1010.568
2019-34,1008.82
2019-35,1017.4449999999999
2019-36,984.64
2019-37,1006.722
2019-38,1013.7379999999999
2019-39,1018.8340000000001
2019-40,1079.584
2019-41,1126.584
2019-42,1229.642
2019-43,1348.892
2019-44,1405.852
2019-45,1437.826
2019-46,1395.874
2019-47,1306.6525000000001
2019-48,1230.218
2019-49,1161.966
2019-50,1071.22
2019-51,1037.0133333333333
2019-52,1028.85
2020-00,1007.595
2020-01,994.8779999999999
2020-02,1014.324
2020-03,1009.9100000000001
2020-04,1006.122
2020-05,994.4739999999999
2020-06,969.208
2020-07,939.8539999999999
2020-08,950.708
2020-09,943.902
2020-10,928.8879999999999
2020-11,839.842
2020-12,713.8399999999999
2020-13,676.85
2020-14,542.292
2020-15,542.75
2020-16,799.672
2020-17,1050.06
2020-18,1204.852
2020-19,1237.524
2020-20,1229.598
2020-21,1218.8125
2020-22,1192.75
2020-23,1069.724
2020-24,906.966
2020-25,803.132
2020-26,777.4549999999999
2020-27,779.222
2020-28,781.99
2020-29,809.29
2020-30,836.6719999999999
2020-31,872.6780000000001
2020-32,927.5440000000001
2020-33,995.392
2020-34,1062.04
2020-35,1068.666
